Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
JA429104,23576,09/13/2017 12:41:00 AM,023XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1223,2,01A,1160719,1899958,2017,09/20/2017 03:51:45 PM,41.88117946,-87.685308968,"(41.88117946, -87.685308968)"
JA428533,23575,09/12/2017 04:00:00 PM,003XX S KILBOURN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1131,24,01A,1146441,1898136,2017,09/19/2017 03:45:14 PM,41.876463555,-87.737783798,"(41.876463555, -87.737783798)"
JA427871,23574,09/12/2017 04:55:00 AM,050XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,28,01A,1142430,1899183,2017,09/19/2017 03:45:14 PM,41.879412082,-87.752485042,"(41.879412082, -87.752485042)"
JA426323,23572,09/10/2017 11:03:00 PM,111XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0531,9,01A,1178789,1831299,2017,09/17/2017 03:46:49 PM,41.692378887,-87.621046145,"(41.692378887, -87.621046145)"
JA375386,23493,08/03/2017 11:45:00 AM,056XX S RICHMOND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0824,14,01A,1157676,1867018,2017,08/10/2017 03:56:38 PM,41.790850744,-87.697378221,"(41.790850744, -87.697378221)"
JA365696,23492,08/01/2017 10:27:00 PM,007XX N LAWNDALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1112,27,01A,1151587,1904667,2017,08/08/2017 03:53:58 PM,41.894285768,-87.718717474,"(41.894285768, -87.718717474)"
JA359969,23470,07/23/2017 12:34:00 PM,070XX S VERNON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0322,6,01A,1180467,1858364,2017,07/30/2017 03:51:44 PM,41.766610297,-87.61407476,"(41.766610297, -87.61407476)"
JA359626,23469,07/23/2017 09:25:00 AM,015XX E 82ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0411,8,01A,1188090,1850923,2017,07/30/2017 03:51:44 PM,41.746013191,-87.58637073,"(41.746013191, -87.58637073)"
JA359495,23468,07/23/2017 02:39:00 AM,036XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,1112,27,01A,1152155,1905098,2017,07/30/2017 03:51:44 PM,41.895457291,-87.716619992,"(41.895457291, -87.716619992)"
JA359314,23467,07/22/2017 10:05:00 PM,071XX S ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,18,01A,1161279,1857151,2017,07/29/2017 03:56:00 PM,41.763700431,-87.684439792,"(41.763700431, -87.684439792)"
HZ342788,22608,07/10/2016 12:03:00 AM,065XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0724,17,01A,1169443,1861521,2016,07/29/2017 03:52:50 PM,41.775519362,-87.654390481,"(41.775519362, -87.654390481)"
JA358110,23466,07/21/2017 10:35:00 PM,088XX S EGGLESTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2223,21,01A,1174845,1846353,2017,07/28/2017 03:47:55 PM,41.733777787,-87.635038724,"(41.733777787, -87.635038724)"
JA356614,23465,07/20/2017 09:25:00 PM,020XX S PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,CTA PROPERTY,false,false,1014,24,01A,1150029,1889979,2017,07/27/2017 03:50:07 PM,41.854010712,-87.724822014,"(41.854010712, -87.724822014)"
